FR_AS_SaaS;NFR_AS_SaaS;MS_365;Salesforce_Cloud;Other;Cloud_native;Hybrid;Adapt_Azure;Azure_native_indepth;technology_specific;WebApp;ContainerApp;hybrid_multi_tenant;Has_Azure_Skill;Adopt_Azure;Adopt_Salesforce;Has_AWS_Skill;Adopt_AWS;AWS_native_indepth;Aftersales_cloud;Need_Analytics;Platform
1;1;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;8
1;1;0;0;0;1;0;-1;-1;-1;-1;-1;-1;0;-1;-1;1;1;1;-1;-1;7
1;1;0;0;0;1;0;-1;-1;-1;-1;-1;-1;0;-1;-1;1;1;0;-1;1;6
1;1;0;0;0;1;0;-1;-1;-1;-1;-1;-1;0;-1;-1;1;1;0;1;0;5
1;1;0;0;0;1;0;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;-1;9
1;1;0;0;0;1;1;1;0;0;-1;-1;0;-1;-1;-1;-1;-1;-1;0;1;6
1;1;0;0;0;1;1;1;0;0;-1;-1;0;-1;-1;-1;-1;-1;-1;1;-1;5
1;1;0;0;0;1;1;1;0;0;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;4
1;1;0;0;0;1;1;1;0;1;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3
1;1;0;0;0;1;1;1;0;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2
1;1;0;0;0;1;1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1
